epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,275.442,1.21419,5.48255,0.01328,0.01046,0.72092,0.04639,0.0364,0.82493,7.51454,0.01785,0.000100313,0.000100313,0.000100313
2,512.21,1.17152,4.84118,0.01278,0.56176,0.11264,0.11373,0.08842,0.85534,6.64041,0.01891,0.00019633,0.00019633,0.00019633
3,1661.38,1.20864,4.27235,0.01364,0.41434,0.21463,0.2033,0.15725,0.95014,5.77679,0.0223,0.000287348,0.000287348,0.000287348
4,2834.7,1.22661,3.85832,0.01387,0.31962,0.32393,0.28944,0.22827,0.95465,5.22469,0.02144,0.000280502,0.000280502,0.000280502
5,3563.26,1.23499,3.5329,0.01361,0.3106,0.34685,0.32585,0.2613,0.92707,4.59093,0.02078,0.000273003,0.000273003,0.000273003
6,3823.95,1.21491,3.28508,0.0136,0.37943,0.42086,0.38273,0.29906,0.94639,4.2916,0.02122,0.000265504,0.000265504,0.000265504
7,4062.8,1.2303,3.09076,0.01358,0.37848,0.43385,0.39936,0.30707,1.01283,3.86344,0.02382,0.000258004,0.000258004,0.000258004
8,4311.42,1.21222,2.95657,0.01372,0.37674,0.5077,0.44334,0.3498,0.946,3.5533,0.02177,0.000250505,0.000250505,0.000250505
9,4567.32,1.22599,2.78583,0.01343,0.42199,0.43252,0.43076,0.33874,0.94968,3.31259,0.02151,0.000243006,0.000243006,0.000243006
10,4816.56,1.21226,2.70272,0.01353,0.45566,0.5037,0.46352,0.36109,0.95606,3.01037,0.02182,0.000235507,0.000235507,0.000235507
11,5062.62,1.21002,2.5852,0.01348,0.44557,0.47649,0.45658,0.36402,0.91331,2.98463,0.01993,0.000228007,0.000228007,0.000228007
